2x,bicubic,fsr,nbsrf,nbsrf(retreinado),srcnn,waifu2x
amy1C.png,"39,4849","38,9584","39,611","39,5346","39,3561","39,3992"
amy1E.png,"39,4898","38,976","39,1829","39,1264","38,783","38,7839"
autumnC.png,"28,4524","28,2329","28,8766","28,8661","28,9672","29,1671"
autumnE.png,"31,6382","31,3251","32,1089","32,0842","31,8714","32,7853"
bcon1C.png,"29,4111","29,3513","29,8963","29,8414","29,9646","29,0843"
bcon1E.png,"29,6064","29,5406","29,8019","29,7209","29,8268","28,7646"
bcon2C.png,"32,4207","32,1077","33,001","32,8984","33,065","32,0415"
bcon3C.png,"34,3313","33,7737","34,7614","34,6967","34,921","33,9785"
bcon3E.png,"31,9073","31,6222","32,0225","31,9585","32,1301","31,1237"
bcon4C.png,"29,9548","30,042","30,5486","30,5118","30,5725","29,6984"
bcon5C.png,"33,9824","34,1028","34,3736","34,3676","34,3009","33,3344"
bcon6C.png,"32,4723","32,5117","33,3206","33,1989","33,4994","33,0691"
blendermanE.png,"28,9669","28,8952","28,1869","28,188","28,0077","28,4921"
bmw2C.png,"35,79","35,7841","36,4331","36,4493","36,4423","36,6048"
bmw2E.png,"37,9662","37,7707","38,219","38,2158","38,0264","38,7545"
bmw3C.png,"38,5541","38,2072","38,7879","38,7668","38,6077","38,3958"
bmw3E.png,"35,4374","35,3177","35,2373","35,2346","35,3176","35,1837"
bmwE.png,"33,0278","32,9479","33,0494","33,0498","33,2336","33,276"
boats1C.png,"29,5719","29,443","29,7093","29,697","29,7444","29,1016"
boats1E.png,"23,1457","22,8326","22,8522","22,8466","22,6894","22,7321"
boats2C.png,"31,0445","30,7486","31,153","31,1079","31,1356","30,7736"
boats2E.png,"26,3697","26,0201","26,0763","26,0689","25,9039","25,8497"
car2C.png,"35,594","35,2967","36,5056","36,5034","36,3556","34,4892"
car2E.png,"33,4047","32,9705","33,2318","33,1793","33,1803","32,4293"
carE.png,"33,0267","32,8855","33,539","33,5076","33,3416","34,0156"
city1C.png,"28,6056","28,6415","29,0171","29,0091","29,0588","28,0325"
city1E.png,"29,4205","29,2951","29,0237","29,0163","28,8801","28,8473"
city2C.png,"30,579","30,5199","31,1952","31,1324","30,9472","29,7281"
city2E.png,"33,23","33,1327","33,1638","33,1317","33,0297","32,6492"
classroomE.png,"34,5203","34,5403","35,5211","35,5258","35,4329","35,7389"
creatureE.png,"33,7017","33,8077","33,9289","33,9281","33,8632","33,9875"
deer1C.png,"30,76","30,8775","31,304","31,3022","31,4016","30,3156"
deer1E.png,"24,8206","24,6751","24,6144","24,6153","24,6237","24,6984"
desert2C.png,"35,9724","35,8359","36,7836","36,7745","36,5696","35,6388"
desert2E.png,"40,1025","39,9169","40,2646","40,2618","39,7834","39,0881"
desertC.png,"38,2053","38,1224","38,6644","38,6325","38,2934","39,0121"
desertE.png,"39,377","39,1682","39,9998","39,9864","39,3217","40,0894"
dinoE.png,"28,6427","28,5955","27,9404","27,9437","27,9993","28,2247"
foxE.png,"25,5447","26,135","25,2226","25,2083","25,1382","24,8339"
junkE.png,"34,1378","33,9582","34,4327","34,403","34,5187","34,6871"
monk2C.png,"32,8094","32,8189",34,"33,9669","34,0412","32,9109"
monk2E.png,"32,4456","32,6558","33,3","33,2813","33,3086","32,0056"
monkE.png,"33,069","33,2798","33,9432","33,9161","33,9691","34,2126"
monsterE.png,"26,7305","26,697","26,7401","26,7361","26,7094","26,7416"
pebbles1C.png,"41,1916","40,9228","41,7647","41,7494","40,9848","39,6877"
