3x,bicubic,nbsrf,nbsrf(retreinado),srcnn,waifu2x
amy1C.png,"38,826","38,0765","38,4515","38,6374","38,4213"
amy1E.png,"38,9143","37,9734","38,217","38,2872","38,0377"
autumnC.png,"26,4962","26,5491","26,7289","26,8406","26,9298"
autumnE.png,"29,8228","29,8358","30,0899","29,8534","30,3866"
bcon1C.png,"27,354","27,4539","27,5957","27,7147","27,0461"
bcon1E.png,"27,5676","27,4527","27,5797","27,7026","26,8714"
bcon2C.png,"30,6554","30,7843","30,9663","31,2394","30,3576"
bcon3C.png,"32,5076","32,3741","32,5073","32,7698","32,0666"
bcon3E.png,"29,7207","29,4662","29,5876","29,7594","29,0797"
bcon4C.png,"28,035","28,1757","28,4186","28,4159","27,7983"
bcon5C.png,"32,3012","32,3615","32,5929","32,5663","31,8108"
bcon6C.png,"30,2911","30,4513","30,8095","30,9514","30,6635"
blendermanE.png,"27,9322","27,2523","27,2321","27,1983","27,4856"
bmw2C.png,"33,7811","33,8358","34,1194","34,2085","34,239"
bmw2E.png,"35,9307","35,7578","36,1862","36,2533","36,5419"
bmw3C.png,"36,9719","36,9097","37,0198","37,0115","36,7537"
bmw3E.png,"30,9727","30,8996","30,8874","30,9999","30,9233"
bmwE.png,"30,3856","30,3374","30,3827","30,5643","30,581"
boats1C.png,"27,8608","27,8002","27,8776","27,909","27,3761"
boats1E.png,"21,0152","20,7256","20,7026","20,6086","20,6642"
boats2C.png,"29,3155","29,2142","29,1927","29,2037","28,796"
boats2E.png,"24,5987","24,2916","24,2463","24,1646","24,1263"
car2C.png,"33,8075","33,8344","34,4719","34,477","33,0342"
car2E.png,"31,6167","31,2886","31,2765","31,4042","30,8415"
carE.png,"31,0544","30,9731","31,317","31,209","31,5237"
city1C.png,"26,5423","26,6296","26,7532","26,7925","26,0699"
city1E.png,"27,9054","27,5335","27,5669","27,5112","27,5176"
city2C.png,"28,4656","28,6024","28,8033","28,864","27,7759"
city2E.png,"30,7933","30,6466","30,7126","30,711","30,4254"
classroomE.png,"32,6148","32,6595","33,2685","33,2307","33,3638"
creatureE.png,"32,3155","32,2716","32,4659","32,4496","32,4898"
deer1C.png,"28,5259","28,7137","28,8905","28,943","28,1834"
deer1E.png,"22,9193","22,7916","22,7794","22,8116","22,8342"
desert2C.png,"34,1014","34,1902","34,7089","34,6532","33,9403"
desert2E.png,"38,3454","38,0089","38,3698","38,362","37,7167"
desertC.png,"36,6119","36,4875","36,7014","36,5984","37,0704"
desertE.png,"37,6046","37,4396","38,0613","37,8238","38,1111"
dinoE.png,"26,5671","26,1612","26,0793","26,2137","26,2828"
foxE.png,"24,4301","24,1659","24,1105","24,0838","23,6818"
junkE.png,"33,0265","32,8903","33,221","33,358","33,4414"
monk2C.png,"30,898","31,0931","31,6387","31,6925","30,8663"
monk2E.png,"30,4964","30,5983","31,0387","31,0694","30,2178"
monkE.png,"31,5172","31,5786","31,9454","32,1266","32,1606"
monsterE.png,"24,6102","24,4458","24,486","24,4943","24,4885"
pebbles1C.png,"40,2685","40,0046","40,7881","40,4615","39,0374"
pebbles1E.png,"36,0068","35,7657","36,0918","35,9787","35,3102"
pool1C.png,"27,6098","27,3105","27,3854","27,4478","27,6083"
pool1E.png,"27,9949","27,7256","27,8275","27,8919","28,2509"
pool1nC.png,"34,3162","34,3157","34,5016","34,6324","33,6252"
