3x,bicubic,nbsrf,nbsrf(retreinado),srcnn,waifu2x
amy1C.png,"0,4031","0,3562","0,3568","0,3641","0,402"
amy1E.png,"0,4311","0,3783","0,3784","0,3877","0,42"
autumnC.png,"0,3359","0,3231","0,3335","0,3351","0,353"
autumnE.png,"0,4002","0,3879","0,419","0,4039","0,4384"
bcon1C.png,"0,4119","0,424","0,4374","0,4374","0,3339"
bcon1E.png,"0,4229","0,439","0,4603","0,4552","0,3152"
bcon2C.png,"0,4127","0,4133","0,4224","0,4357","0,2732"
bcon3C.png,"0,3905","0,3906","0,4005","0,4017","0,2525"
bcon3E.png,"0,4874","0,4945","0,5166","0,5105","0,3423"
bcon4C.png,"0,4272","0,4347","0,4514","0,4485","0,349"
bcon5C.png,"0,3198","0,3248","0,3372","0,3351","0,2181"
bcon6C.png,"0,276","0,2606","0,2674","0,2734","0,2183"
blendermanE.png,"0,5341","0,5032","0,5083","0,5129","0,5337"
bmw2C.png,"0,1807","0,163","0,1641","0,1678","0,1808"
bmw2E.png,"0,102","0,0925","0,0974","0,0998","0,1085"
bmw3C.png,"0,1833","0,1653","0,1633","0,1686","0,1845"
bmw3E.png,"0,1226","0,1103","0,11","0,1114","0,1168"
bmwE.png,"0,1842","0,1674","0,1691","0,1736","0,1852"
boats1C.png,"0,4466","0,4509","0,458","0,4595","0,3548"
boats1E.png,"0,4091","0,4018","0,4062","0,4076","0,3361"
boats2C.png,"0,3598","0,3542","0,3603","0,3624","0,298"
boats2E.png,"0,2883","0,2813","0,2859","0,2859","0,2406"
car2C.png,"0,5891","0,5536","0,5746","0,5895","0,4633"
car2E.png,"0,5948","0,5565","0,5801","0,5935","0,4288"
carE.png,"0,5846","0,5531","0,5782","0,5879","0,6084"
city1C.png,"0,3963","0,3947","0,403","0,4051","0,3386"
city1E.png,"0,2831","0,295","0,306","0,3094","0,1717"
city2C.png,"0,2838","0,2884","0,2957","0,2999","0,2419"
city2E.png,"0,2102","0,2117","0,2177","0,2205","0,1635"
classroomE.png,"0,5566","0,5451","0,5652","0,5722","0,5865"
creatureE.png,"0,5719","0,5348","0,5396","0,5529","0,5781"
deer1C.png,"0,4774","0,4699","0,4763","0,4855","0,3815"
deer1E.png,"0,4356","0,4148","0,4168","0,4201","0,394"
desert2C.png,"0,2477","0,2333","0,2387","0,2435","0,1915"
desert2E.png,"0,178","0,1727","0,1791","0,1793","0,118"
desertC.png,"0,2064","0,1896","0,1952","0,197","0,2097"
desertE.png,"0,2187","0,2076","0,2152","0,2163","0,2262"
dinoE.png,"0,4553","0,4138","0,411","0,419","0,4442"
foxE.png,"0,4627","0,4659","0,4769","0,4822","0,4754"
junkE.png,"0,6198","0,5656","0,574","0,6039","0,615"
monk2C.png,"0,4156","0,4201","0,4369","0,4344","0,3077"
monk2E.png,"0,4875","0,5108","0,5376","0,5333","0,3677"
monkE.png,"0,5178","0,5396","0,5658","0,5625","0,5703"
monsterE.png,"0,2026","0,2164","0,2249","0,2237","0,2245"
pebbles1C.png,"0,7845","0,7267","0,7312","0,7709","0,7315"
pebbles1E.png,"0,7786","0,7064","0,7115","0,7583","0,6938"
pool1C.png,"0,5056","0,4524","0,4615","0,5008","0,363"
pool1E.png,"0,3935","0,3237","0,3337","0,383","0,2489"
pool1nC.png,"0,4476","0,4405","0,4449","0,4595","0,2864"
pool1nE.png,"0,4046","0,3538","0,3601","0,3982","0,2308"
pool2C.png,"0,4789","0,3939","0,399","0,4538","0,3045"
pool2E.png,"0,4656","0,4398","0,4486","0,4529","0,3024"
pool2nC.png,"0,5279","0,5028","0,5067","0,5208","0,3785"
pool2nE.png,"0,3856","0,3036","0,3135","0,3594","0,205"
pool3C.png,"0,5892","0,5227","0,5262","0,5528","0,4562"
pool3E.png,"0,5146","0,4388","0,445","0,4871","0,3826"
pool3nC.png,"0,5304","0,493","0,4947","0,5267","0,3686"
pool3nE.png,"0,6132","0,5415","0,5459","0,6018","0,4191"
pool4C.png,"0,3744","0,3852","0,3971","0,4091","0,2615"
pool4E.png,"0,3387","0,3436","0,3572","0,3688","0,2609"
pool4nC.png,"0,3097","0,3187","0,3253","0,3277","0,1642"
pool4nE.png,"0,3332","0,3462","0,3547","0,3504","0,1065"
pool5C.png,"0,5904","0,5418","0,5483","0,5654","0,4165"
pool5E.png,"0,5283","0,4997","0,5104","0,5211","0,406"
pool5nC.png,"0,4697","0,4482","0,4516","0,4616","0,3177"
pool5nE.png,"0,4911","0,4351","0,4383","0,4701","0,2922"
pool6C.png,"0,4225","0,3454","0,3417","0,3806","0,4094"
pool6E.png,"0,5273","0,4257","0,4259","0,4846","0,4751"
pool6nC.png,"0,432","0,3621","0,3608","0,3904","0,4122"
pool6nE.png,"0,5591","0,4523","0,4515","0,533","0,4948"
pool7C.png,"0,4933","0,4489","0,459","0,4809","0,3342"
pool7E.png,"0,4463","0,412","0,4245","0,4506","0,303"
pool7nC.png,"0,4039","0,3905","0,3956","0,4069","0,2418"
pool7nE.png,"0,4106","0,375","0,3817","0,4033","0,2333"
tramE.png,"0,3301","0,3143","0,3185","0,3204","0,3205"
tree1C.png,"0,4788","0,4586","0,4648","0,4681","0,4204"
tree1E.png,"0,5207","0,4957","0,5027","0,5082","0,4458"
tug2C.png,"0,2597","0,2423","0,2498","0,2499","0,2357"
tug2E.png,"0,2941","0,2722","0,2869","0,2853","0,2492"
tug3C.png,"0,3307","0,3189","0,3327","0,3327","0,3195"
tug3E.png,"0,3678","0,3526","0,3796","0,3761","0,3281"
tugE.png,"0,1724","0,1637","0,1649","0,1662","0,1717"
ui1C.png,"0,524","0,5139","0,5257","0,5289","0,4715"
wandererFE.png,"0,6297","0,4365","0,4421","0,6152","0,4136"
wandererTE.png,"0,6609","0,5058","0,5171","0,6249","0,5216"
