4x,bicubic,nbsrf,nbsrf(retreinado),realesrgan,realesrgan(retreinado),realsr,srcnn,waifu2x
amy1C.png,"0,3426","0,3029","0,3024","0,2663","0,271","0,1921","0,306","0,3424"
amy1E.png,"0,3651","0,3212","0,3198","0,2951","0,2951","0,1972","0,3249","0,3579"
autumnC.png,"0,251","0,2424","0,2481","0,2288","0,1879","0,1792","0,2511","0,2659"
autumnE.png,"0,3012","0,2924","0,3228","0,2505","0,2025","0,1968","0,3049","0,3385"
bcon1C.png,"0,3032","0,3145","0,3271","0,2814","0,1883","0,2434","0,3251","0,2429"
bcon1E.png,"0,3074","0,3243","0,3442","0,2703","0,1617","0,2383","0,3353","0,2254"
bcon2C.png,"0,3088","0,3138","0,323","0,2696","0,1398","0,2136","0,3186","0,2019"
bcon3C.png,"0,2912","0,296","0,3035","0,2585","0,1337","0,1936","0,2942","0,1837"
bcon3E.png,"0,3736","0,3838","0,4028","0,3163","0,1767","0,2565","0,3917","0,2556"
bcon4C.png,"0,3181","0,3247","0,3403","0,2754","0,1966","0,2394","0,336","0,2595"
bcon5C.png,"0,2285","0,2347","0,2457","0,1824","0,1205","0,1382","0,2423","0,1558"
bcon6C.png,"0,1983","0,1898","0,1951","0,1433","0,106","0,1094","0,1986","0,1569"
blendermanE.png,"0,4545","0,4215","0,423","0,3182","0,3299","0,2946","0,4285","0,4472"
bmw2C.png,"0,1383","0,1255","0,125","0,1324","0,118","0,1004","0,126","0,1387"
bmw2E.png,"0,0747","0,0679","0,0724","0,0694","0,0633","0,0528","0,0722","0,0812"
bmw3C.png,"0,149","0,135","0,1322","0,1321","0,1216","0,1001","0,1358","0,1473"
bmw3E.png,"0,0974","0,0883","0,0876","0,0805","0,067","0,0612","0,0875","0,0905"
bmwE.png,"0,1484","0,1347","0,1363","0,111","0,1209","0,1065","0,1388","0,1501"
boats1C.png,"0,3547","0,3556","0,3631","0,2993","0,1692","0,2736","0,3645","0,277"
boats1E.png,"0,3016","0,297","0,2988","0,2578","0,1446","0,2187","0,3007","0,2425"
boats2C.png,"0,2798","0,2756","0,2801","0,2436","0,1379","0,2046","0,2819","0,2299"
boats2E.png,"0,2123","0,2076","0,2092","0,1845","0,0851","0,1485","0,2093","0,1727"
car2C.png,"0,5071","0,4765","0,4955","0,2712","0,2798","0,226","0,5074","0,4051"
car2E.png,"0,5078","0,4764","0,4973","0,2428","0,2373","0,2094","0,5083","0,3769"
